"Cell01" "Cell02" "Cell03" "Cell04" "Cell05" "Cell06" "Cell07" "Cell08" "Cell09" "Cell10" "Cell11" "Cell12" "Cell13" "Cell14" "Cell15" "Cell16" "Cell17" "Cell18" "Cell19" "Cell20" "Cell21" "Cell22" "Cell23" "Cell24" "Cell25" "Normal"
"CENPN" 0.924314 10.5221 0.599381 1.5645 12.7668 0 39.7818 0 0 0.341833 8.8925 0.356182 0 0 0 6.72143 0 23.2742 0.324411 1.01902 0 11.7493 0.381509 0 0 0
"CENPO" 0 4.79875 0 1.00079 0 0 0.078727 0 0 0.218302 0 0 0 0 0 0.0316036 0.0465711 3.65439 0 0 0 0 9.27304 0 0 0
"CENPP" 0 3.77477 0 0 0.679265 0 0 0 0 0 0 0.221746 0 0 0 0 0 0 0 6.5913 0 0 28.7402 0 0 0
"CENPQ" 0 5.88332 0 0 15.4207 0 0 0 0 0 0 21.2162 0 0 0 12.5981 0 0 0 0 0 3.78021 0.31163 0 0 0
"CENPT" 13.2489 3.70622 7.63356 0 0 0 0 0 0 2.57966 0 0 0 0 11.9884 6.66904 0 0 0 0 0 34.3486 0 0 0 191.963
"CENPU" 0 35.1504 0.68138 0.340595 3.80392 0 0 0 0 4.88856 0 7.12917 0 0 0 9.81178 0 1.96916 0.354497 0 0 0 35.32 6.80166 0 0
"CENPV" 13.1925 14.7152 17.0456 0 22.9229 0 34.9398 0 0 12.4283 0 0.232159 0 0 9.02501 8.97176 0 2.71818 0 0 0 36.0302 3.13416 0 0 0
"CENPW" 0 35.8958 2.51111 2.51313 2.32451 0.737245 40.9265 0 36.1001 0 0 7.66017 0 0 0 0 0 0 0 42.1218 0 13.3375 5.95345 0 0 0
"CEP104" 0 1.26968 8.39425 0.310709 2.8989 0.332438 0 16.1943 1.49704 0 0 2.21214 1.79067 0 0.14311 4.60651 2.2921 0.52939 6.81007 0 9.07135 11.3634 1.94832 0 0.0959903 0.290943
"CEP112" 0 3.01888 0 0 0 0 0 0 0 0 0 0 0 0 0.907563 0 0 0 0 0 0 0 0.853682 0 0 0
"CEP120" 0 4.44547 0 3.33744 0 0 0 0 0 0 0 1.26026 0 0 5.81058 0 3.23824 0 0 0 0 0 0.429042 0 0 0
"CEP128" 0 0 7.13306 1.37107 6.22099 0 0 0 0 0 0 0 0 0.0575401 0 3.06833 0 0 0 10.5644 0 0 0 0 0 0
"CEP131" 0 3.3396 5.2932 0.235127 0 19.5994 0 0.135587 0 0 0.138555 8.03553 0 0 4.71238 8.36543 0 0 0 0.154255 0 0.133905 0 0 0 0
"CEP152" 0 0 0 0 0 0 0 0.0824964 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CEP162" 0 0 0 0 0 3.73029 0 0 0 7.88254 12.8159 0 0 0 1.87227 2.41295 0 0 0 0 0 14.0839 4.20014 0 62.7554 0
"CEP164" 0 2.19676 0 0.143315 0.267362 0 0 0 0 1.98497 0 0 1.07752 0 0 1.61293 0 0 5.19654 0.478009 0 6.38137 0 0 1.57268 0
"CEP170" 0 1.25388 1.82422 3.17347 0.274326 0.331015 0 0 13.2688 3.85128 0 0.0337372 0 0 1.45609 4.30381 11.5058 0.322051 0 0 0 6.66707 0 0 0 0
"CEP170B" 2.07084 0.319824 0 0.720193 0.391916 0 0.190121 0 0 0 0 0 0.988415 0 0 0.380293 0 0.0364525 0 3.39404 0 0.034126 0.488797 0 2.78171 0
"CEP19" 0 0 0 3.11612 0 0 0 0 0 0 0 0 0 0 0.111678 0 0 0 0 0 0 0 10.2198 0 0 0
"CEP192" 0 0.533093 0 1.74995 0 0 1.2286 0 0 0 0 0 0 0 0 0 0 0 0 0.0657689 0 0 0 0 0 0
"CEP250" 0 5.10252 0 0 0 0 0 0 0.0548942 0.574518 0 0 20.7368 0 0.964743 2.82021 0 0 0 5.09927 0 0 0.857453 0 6.5813 0
"CEP290" 0 0 0 0 3.27521 0 0 0 7.24618 0.930189 0 0 0 0 0.0288749 0 0 4.39302 0.0261711 0 0 2.08498 0 0 0 0
"CEP350" 0 6.14946 0 0.0293173 0.656996 0 0 0 4.43873 3.96735 0 1.26301 4.5925 18.275 1.77409 2.6572 0 0.767121 1.47002 0 11.3607 0.0334077 3.65373 6.3539 0 0.0196008
"CEP41" 0 6.49024 0 0.0644928 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.78366 0.026261 3.38615 0 0
"CEP44" 0 2.39104 0 0 0.0836863 0 0 0 0 0 0 3.40011 0 0 3.61433 0 0 0 0 0 0 0 0 0 0 0
"CEP55" 0 0.596906 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19.1719 0 0 0 0 0 0
"CEP57" 1.32325 22.1636 24.33 12.9454 35.5648 0 0 81.3585 0.154052 8.06352 18.1875 0 0.110183 0 0 10.6378 0 21.1649 2.58831 0 0 29.488 7.37779 1.41152 0 0
"CEP57L1" 0 4.32589 0 0 0 0 0 0 0 0 20.8138 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.112631
"CEP63" 0.0751189 4.15721 0.229178 8.28149 0.427784 0 0 37.7179 0 7.0195 0 0.13149 0 12.0231 0 11.5508 0 8.68727 0.039758 0 0 17.3006 4.58703 2.89899 0 0
"CEP68" 0 0 0 0 0 0 0 0.0792123 0 0 2.42923 0 0.0565392 0 0 0.108797 0 0.0417993 0.0358408 0 0 0 0.699213 0 0 0
"CEP70" 0 9.81299 1.11714 14.9735 26.2818 0 0 0 2.77806 4.37347 0 21.5787 11.5879 32.4909 9.42414 6.15482 24.5976 6.23031 0.414378 0.243655 18.2169 1.05986 1.66615 0 0 0
"CEP72" 0 0 0 0 0 0 0 0 0 0 0 0 0.14424 0 0 0 0 0 2.93092 44.3691 0 0 0 0 0 0
"CEP76" 0 0 7.46632 6.03767 2.30084 0 0 0 0 0 0 0 0 0 0 5.1609 0 0 0 0 0 0 16.683 0 0 0
"CEP78" 0 28.5313 0 1.06944 0 0 0 0 0 0 0 0 0 0 3.57585 0.0985291 0 5.20586 19.5657 0 0 7.82918 0 0 0 0
"CEP83" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0752354 0.207357 0 0 2.59354 1.89016 0 0 0 0 8.68842 0
"CEP83-AS1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.97014 0 0 0 0 0 0 0 0 0 0 0
"CEP85" 0 1.28428 0 0 5.98946 0 0.126984 0 0 0 0 0.0922499 80.5896 0 0 0 0 0.489448 0 0 0 0 9.11646 0 0 0
"CEP85L" 0 0 17.4408 0 0 0.333732 0 0 0 0 0 0 4.99254 0 0 0 0 0 0 0 0 0 1.92002 0 0 12.9081
"CEP89" 0 3.44897 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CEP95" 0 10.414 0 3.28719 2.47705 19.1936 0 0 0 0 0 0.0897654 0 0 9.70527 4.50771 0 0 0 59.7844 0 1.33692 0 0 0 0
"CEP97" 0 0 0 0 0 0 0 0 0 0 0 0.424278 0 0 0 0 0 0 0 0 0 0.684208 0 0 0 0
"CEPT1" 0 0 0 7.74746 3.2423 0.458241 0 0 0 0 0 0 0 0 0 3.67604 0 0 0 10.5626 0 15.6573 0 0 0.298054 0
"CERCAM" 0 0 0 0 0 0 17.5599 0 0 0 0 0 0 0 0 0 0 0 0 0.126708 0 0 0 0 0 0
"CERK" 9.66654 3.33706 0 0.458316 1.36736 0 0 0 3.89125 0 0 4.47182 22.3857 0 0.0527269 2.64158 0 12.8844 0 9.51068 0 26.8356 9.06758 2.31331 5.23514 0
"CERKL" 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0917703 0 0 0 0 0 0 0 0 0 0 0 0
"CERS2" 565.447 474.207 398.407 298.538 292.606 21.4313 7.74109 425.853 203.845 485.357 415.872 389.865 61.9663 61.421 60.5693 304.734 379.069 304.747 333.938 76.0892 32.5939 350.732 337.479 687.534 155.576 0.226492
"CERS4" 58.7537 31.0222 56.7467 16.6635 103.644 56.4733 0 29.5503 17.4689 54.599 55.5015 67.5089 0 0 0 32.8307 0 48.197 30.6047 0 0.203536 7.83449 38.9866 21.3055 0 0
"CERS5" 16.5825 2.11252 0 5.71579 0 0 0 0 0 0 0 0 0 0 0.0911319 0 0 0 0 0 0 0 0 0 0 0
"CERS6" 0 0 0.821825 5.69157 0 0 0 0 0 0 0 1.78559 0 5.79986 0 0 12.4386 0 0 0 0 0 13.6667 0 0 9.06538
"CERS6-AS1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.117761 0 0 0.0968773
"CES1" 700.315 1408.48 1103.95 1146.46 958.786 416.004 83.3935 481.271 1799.35 748.171 507.419 1685.62 57.9409 219.195 427.749 908.1 290.415 593.007 529.019 205.362 20.4066 618.511 959.345 137.262 696.872 0.144494
"CES1P1" 0.187636 1.18203 0.571437 1.33322 0.177144 0 0 0.21979 0.437254 0.207978 0.224482 0.982557 0.155957 0.479421 0.109228 0.783232 0 0.231778 0.198108 0 0 0 1.16216 0 0.293286 0
"CES1P2" 0 0 0.2799 0.279971 0.259832 0 0 0 0 0 0 0.320591 0 0 0 0.3539 0.130276 0.340694 0.145262 0 0 0.477934 0.341444 0 0.430189 0
"CES2" 182.4 95.4447 101.72 101.864 59.2264 11.2021 20.5085 228.418 11.4691 81.0855 92.1834 127.76 87.1121 165.102 26.9459 117.111 47.7124 36.0199 29.2002 0.138406 62.7274 2.13489 28.778 27.1503 3.41786 0.0705276
"CES3" 1.93219 7.57452 0.784572 0.392151 1.58283 0 0 0 0 2.71149 0 12.3699 0 15.715 0 7.23811 0 0 0 0 0 0 0.37239 0 0 0
"CES5A" 0 0 0 0.987609 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 28.7866 0 0 0 0
"CETN2" 16.6516 38.537 60.9459 43.1906 0 0 0 0 0 11.6803 0 20.6053 0 0 0 0 0 14.8994 18.8614 0 0 98.4766 73.4001 0 294.382 0
"CETN3" 0 1.32957 0 3.51587 0 0 0 0 5.77426 0 0 0 79.5615 0 0 0.633311 0 5.80586 0 0 0 7.70794 25.2771 0 0 0
"CFB" 313.362 198.226 242.475 206.299 650.013 45.8309 39.031 959.885 361.519 288.705 537.223 776.166 48.9653 516.314 0.460777 624.312 362.539 123.966 282.271 0.210317 4.20773 35.6499 369.072 166.025 0.247399 0.10751
"CFD" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.44793 0 1.98725 0 0 0 0 0 0 0 0
"CFDP1" 8.20925 51.6156 31.1616 22.4783 11.753 33.4648 1.42001 8.79525 32.0722 15.4501 68.3571 56.1932 0.88419 183.553 33.5084 41.0932 18.1965 47.6466 37.1645 40.7783 0 13.404 40.9483 47.1694 0 0
"CFH" 731.901 677.728 917.831 945.94 701.767 4.6258 75.334 583.991 554.256 928.457 356.473 304.874 2.08193 660.87 26.1593 554.062 306.181 364.321 142.896 27.8981 0.894139 343.63 616.461 251.875 85.2655 0.159207
"CFHR1" 991.674 1364.41 1762.22 1174.16 761.671 23.2739 0 1530.57 2013.32 1158.28 562.194 1415.38 2.89933 582.61 21.5668 1353.8 918.905 938.489 1014.16 50.0837 0 1101.49 566.001 781.934 1.09372 0.478712
"CFHR2" 283.319 369.679 525.598 359.659 253.422 0 0 491.629 487.792 313.698 268.515 439.221 21.252 206.361 4.53332 463.572 246.927 409.67 155.177 0 0.391744 259.638 339.219 417.834 0 0
"CFHR3" 19.4958 36.9795 24.9427 12.2029 40.5272 0 0 25.3602 79.719 13.3293 91.7212 39.2851 39.3905 0.170601 0.177636 46.8799 0 82.333 148.753 0 2.35186 43.6706 34.2865 0 0 0
"CFHR4" 4.96564 6.97276 7.87656 3.5461 9.04533 0 0 2.54798 37.0145 32.8857 31.3185 9.92062 15.404 0 0 13.6376 0 19.5606 44.1763 0 0 7.17269 26.9317 0 0 0
"CFHR5" 40.3118 94.1574 106.309 45.2099 44.1623 5.09418 0.117058 0 43.5497 91.762 36.1663 31.7098 0 0 0 23.1276 52.1128 40.317 15.1267 0 0 40.0916 43.9712 81.3261 0 0
"CFI" 195.891 140.313 151.331 245.574 207.649 30.4595 0 136.081 52.0438 178.056 187.96 95.2767 0.976593 350.235 10.6027 132.709 115.711 49.0013 92.2256 89.8725 0 46.9761 274.195 28.4119 11.6332 0.133222
"CFL1" 392.819 682.047 403.223 573.37 464.464 192.976 82.9041 582.421 534.99 613.99 410.014 283.23 157.927 867.845 254.201 133.8 502.064 277.234 290.269 127.752 118.889 312.85 448.27 97.8642 337.107 1647.21
"CFL1P1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.116437 0 0 0 0 0 0 0 0 0 0 0
"CFL2" 50.513 44.8923 15.65 24.5578 30.4745 0 13.0359 18.7478 49.2772 33.5498 11.9133 37.7918 0.11359 0 3.34017 20.7813 3.61574 40.5499 73.4694 0.0907387 0 11.5391 16.9837 0 0 0
"CFLAR" 1.77162 33.5462 0.36785 25.9547 2.57505 3.49883 40.7536 0.329637 106.415 0.356606 0 0 6.86632 0 4.16504 28.4626 0.286083 59.861 5.29942 6.21689 41.9453 0.791185 10.1515 1.03121 7.43871 0.0273067
"CFLAR-AS1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.50943 0 0 0 0 0 0
"CFTR" 0 0 0.0656114 1.1803 0 0 0 0 0 0 0 0 0 0 0.0754976 0 0 0 0 0 0 1.83032 8.0898 0 0 0
"CGGBP1" 15.6586 22.7512 10.4614 9.053 23.1457 0 0 0.211782 10.2207 2.80687 23.3829 3.26794 9.96793 0 0 19.1077 0.214272 0 5.74646 0 0 28.4032 18.2442 0 0 0
"CGN" 0 13.4643 11.6744 6.90561 13.1025 0.0471512 0 57.1192 0 5.97815 0.0935662 10.1608 10.3831 0 1.78134 2.11178 0 4.92656 1.78033 0 0 6.05853 0.0323156 23.0389 24.7569 0
"CGNL1" 8.6762 11.9019 4.3206 3.98571 20.9726 0 3.46578 20.8087 0.0634627 9.60657 0.717783 14.4949 0 0 1.02008 15.9246 59.1168 20.7502 5.05638 0 0 1.82908 2.86276 0 0.0854703 0
"CGREF1" 0.562053 0 0 3.14337 0 0 0 0 0.655479 0.353528 0 0.242496 12.1153 0 0 0.102209 0 0.150385 0.167699 0 0.543709 0 1.80919 0 0 0
"CGRRF1" 21.6004 40.9658 18.7957 16.3678 0 0 0 34.5947 29.6046 14.0787 0 6.37477 0 0 0 0 0 2.96639 29.0384 0 0 27.139 9.339 0 0 0
"CHAC1" 2.82752 0 0 0.319046 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHAC2" 0 13.1933 0 0 0.337048 0 0 0 0 0 0 0 0 0 0 0 0 12.8419 0 10.6463 0 0 0 0 0 0
"CHAD" 0 0 3.65541 0 0 0 0 0 0 0 0 0.598217 0 0 0 0 0 0 9.35382 0 0 0 0 0 0 0
"CHADL" 0 0 7.85213 2.67255 6.83955 0 0 0 0 16.4144 0 1.24507 0 0 2.77999 2.37835 0 0 3.04236 0 0 1.14123 0 0 0 0
"CHAF1A" 0 0 0 0.495525 5.42412 0 0 0 0 0.946696 0 0 0 0 0 0 0 4.14591 0 0 0 0 0 0 2.48393 0
"CHAF1B" 0 2.32764 0 3.93786 9.76748 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7.57947 0 0 0 0
"CHAMP1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0684057 0 0 0 0 0 0 0 0 0 0 0 0
"CHCHD1" 51.0266 29.575 32.3013 22.5851 60.6954 93.5398 15.6334 26.1294 141.126 111.489 245.211 87.6941 78.5772 0 87.7968 47.8537 0 78.3538 47.7225 63.7097 0 178.924 65.8454 19.1748 94.9081 0
"CHCHD10" 3.21861 3.59553 0 3.27558 4.50108 6.15657 14.5044 0 2.82863 6.27412 0.96445 2.32798 35.9243 0.514194 10.5991 0.514446 11.3364 2.49065 0 10.4721 1.35 6.50562 0.994729 0 0 0
"CHCHD2" 346.526 595.254 295.62 370.943 278.322 323.492 320.797 563.919 567.265 565.239 680.325 311.988 374.146 619.64 213.851 310.195 635.983 489.453 575.234 211.157 118.902 751.215 442.113 344.135 552.383 323.991
"CHCHD3" 87.1651 77.369 97.7573 66.5932 65.9735 0 11.4808 48.016 115.52 109.882 3.9737 29.9224 0.458409 0 0 123.246 49.4215 0.341927 96.8002 18.323 74.7185 71.6293 99.2618 117.414 0 0
"CHCHD4" 2.18306 0 44.9575 22.9061 9.10414 0 0 0 28.3759 33.9103 5.59875 0 0 0.199214 18.4567 4.60226 0 42.1289 8.0445 0 0 38.0208 24.3133 7.97856 0 0
"CHCHD5" 37.7273 2.93135 0 7.5126 6.8796 83.9493 152.902 51.2516 0 2.74106 32.4416 17.0821 0 17.8197 44.1351 6.02949 41.2049 7.10865 32.4395 0 0 1.89454 6.759 0 0 457.14
"CHCHD6" 0 0 0 3.34707 11.0408 0 48.4814 0 9.34385 43.9062 51.2672 18.5681 0.386826 0 0 0 0 22.3996 0 0.619106 0 0 4.85237 0 0 0
"CHCHD7" 9.97929 25.7271 0 1.7246 12.9397 11.3582 0 47.1596 0 0 3.30767 0.809029 0 0 0 0.89309 0 0 28.6186 0 0 12.0854 32.2585 102.197 13.0269 0.1958
"CHD1" 0 5.46601 0.310948 0.248607 0 0 0 0 0 0 0 0 0 21.3645 0.0357833 0 0 0 1.10276 8.00839 0 0 0 0 0 0
"CHD1L" 32.0881 51.9589 62.4845 27.6122 37.7118 78.9977 0 0 18.6916 62.0413 0.208574 0.20293 29.0045 0 32.7003 17.0244 0 61.0679 30.1133 74.9682 34.9959 59.6585 33.1974 7.81189 25.6298 0
"CHD2" 0 0 0 1.35742 2.73213 2.52327 0 0.0489083 0.145974 0.62794 0 0.048724 1.99236 0 0 2.21777 0 0.335565 0.26578 0 0 35.4571 0 0 0 0
"CHD3" 0 0 0 1.20044 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.85111
"CHD4" 8.40054 19.6952 10.814 10.8074 6.10762 4.91901 1.95721 61.1708 4.10903 17.0533 2.98477 7.16264 0.915222 0 4.12452 14.5751 34.7163 13.4533 13.2458 7.91697 0 2.00529 5.43153 3.6375 5.91455 0
"CHD6" 0 0 0.293114 2.16018 0 0 0 0.126638 0 0 0.0431615 0 0.422477 0 0.801657 0 0 2.42848 0 0 0 5.7365 2.41558 1.61775 0 47.5664
"CHD7" 3.93929 0 0 1.09292 2.4234 0 0 0 0 0 0 0.019617 10.6417 0 0 0 0 0.332526 0 0 0 0.661601 0.0139095 0 0 0.0228356
"CHD8" 0 2.65912 5.77583 0.694787 3.64087 0 0 0 0.858318 0 0 0 0 0 0 0 0 0.390261 0.920604 0 0 0 0 0 0 0
"CHD9" 0 0 0 0.655722 0 20.1242 0 0 0 0 0 0 8.02214 0 0 3.58713 0 0 1.80233 0 0 0.0196628 0.182719 0 0 0
"CHDH" 25.9318 10.3484 8.10832 21.5392 25.4521 0 0 29.3265 7.13425 38.179 14.7886 0 9.5781 62.27 0 17.3655 34.1354 20.2001 5.90216 0.0728575 0 0 24.4033 0 0 0
"CHEK1" 0 7.835 0 0 2.77515 0 0 0 0 0 15.9981 0.08998 0 0 0 0.0993098 0 0 0 0 0 2.55461 0 0 0 0
"CHEK2" 26.6595 1.04258 0 0.496857 0 0 0 0 0 0 0 0.142281 0 0 0 0 0 0 0.387023 0.648811 0 0 0 0 0 0
"CHERP" 6.99152 3.28222 1.99924 5.59531 0.372543 0 0 0.806683 0 0.545349 0.706665 0 0.164261 0 6.14819 4.0498 0 5.71506 3.80252 0 0 0.341446 0.488069 9.24521 65.8429 0
"CHFR" 0 0 0 0.833075 6.98241 0 0 44.9363 0.146598 0 0.163634 0 0 0 5.26381 0 0 0 0 0.182027 0 0 0 0 0 0
"CHI3L1" 0 0 0 15.9719 0 502.892 0 0 52.0043 0 0 0 21.6236 0.299981 878.887 0 0.221995 0 6.68641 447.942 0 766.715 0 0 2584.6 0.319584
"CHIA" 0 0 0 7.61413 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHIC2" 0 0 0 2.06093 0 0 0 0 9.47316 0 0 0 0 0 0 0 0 0 0.213116 0 0 0 0 0 0 0
"CHID1" 7.12366 19.4993 10.8004 13.9435 3.25098 9.36989 37.7422 8.33884 15.8763 36.3481 1.46908 0.214483 0 1.77896 19.7778 6.20261 0 20.7966 7.53231 2.10576 0.633092 33.8404 25.2159 17.5713 1.97908 22.3593
"CHKA" 30.5497 25.1173 47.3096 30.3944 52.4485 0.281052 7.36769 0.182428 57.5633 5.35424 135.204 2.57421 1.16733 18.2193 12.0751 23.0771 0 23.7799 17.8881 9.84438 0.133689 5.31414 46.4181 25.7037 0 0
"CHKB" 0 0.483952 2.73212 0 28.6633 0 0 0 0 0 0 0 41.0297 0 22.6676 0 0 13.6344 0 17.6618 195.166 2.17708 10.3321 0 0 0
"CHKB-AS1" 0 0 0 0 0 18.8529 24.0763 0 0 0 0 0 68.219 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHKB-CPT1B" 0 5.84585e-07 2.39824e-07 0 4.0386e-07 1.86219e-95 0 0 0 0 0 0 2.49769e-07 0 3.06144e-07 0 0 1.61038e-07 0 0.182869 0.369806 4.6032e-08 1.24771e-07 0 1.20128e-105 0
"CHM" 0 0 0 3.9328 0 4.3206 0 0 0 0 4.72344 0 1.69716 0 0 0 0 0 0 2.3405 0 0.380417 0 1.40471 0 0
"CHML" 0 3.92447 6.00687 0.283164 0.581298 0.0336698 0 0.0653016 0 0 2.53688 1.52839 2.47178 0 0 0.807383 5.1037 4.58337 0 0.0744771 0.0480752 1.77444 8.94752 0 0 0
"CHMP1A" 0 6.99669 13.0943 21.5977 21.3704 48.0682 21.0746 0 0 30.5237 3.96191 0 10.7267 0 1.21798 4.86984 6.26676 13.0261 16.8447 20.1522 0 36.6281 7.05387 0 11.7187 0
"CHMP1B" 0 12.3247 3.67782 10.3491 0.887735 0 0 0 6.87588 7.73071 0.160508 11.0917 0 0 0.156447 8.83594 0 11.766 0.283689 0 0 8.06447 0.0554161 0 0 0
"CHMP1B2P" 0 1.47294 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.14108 0 0 0 0 0 0 0
"CHMP2A" 109.969 142.755 96.2437 115.051 80.2235 109.973 0 221.326 31.0291 210.754 133.002 151.983 27.0923 344.037 34.6765 166.491 284.9 96.1523 231.039 17.4215 0 81.0476 130.557 157.629 163.927 3.33317
"CHMP2B" 21.367 19.7859 5.61796 10.2713 43.167 0 0 5.7399 32.2778 11.0388 2.64813 18.4966 0 10.0998 5.55283 4.11888 0 42.3789 29.3181 15.3012 0 56.9252 22.6094 9.46663 12.8595 0
"CHMP3" 0 11.4524 1.30189 7.80899 0.131812 0 0 0 8.39282 9.66199 0 0 0 0 2.84151 5.05772 0 9.26627 20.1127 0 0 31.6371 4.03196 0 0 0
"CHMP4A" 0 8.97623 24.0036 15.2209 0 45.5788 0 0 45.8484 1.47823 0 0.774047 0.275248 0 22.7874 13.9933 0 11.113 0 0 0 55.4147 41.508 0 0.518993 7.94522
"CHMP4B" 0 4.5403 0 0.809569 0 1.75108 0 0 3.71863 8.54818 0 0 0 0 0 0 0 1.97032 5.462 0 0 0.153564 1.53595 15.301 0 0
"CHMP4C" 0 22.2781 0 0.237222 2.42425 0 0 0 0.272368 5.69992 0 0 0 0 0 0.375009 0 0 0 0 0 0.405047 16.2064 0 0 0
"CHMP5" 21.3673 24.5863 19.3968 62.3599 13.9604 0 60.801 0.256237 10.2954 18.6764 0.491626 17.211 0 0 0 23.4163 0 22.7155 18.2139 16.687 0 71.8631 36.392 0 0 0
"CHMP6" 0 0 5.0664 8.00119 0 0 10.0645 5.23464 15.0069 34.9585 0 0 0.435378 0 0 7.24941 112.461 8.43841 11.0742 43.5028 10.1052 28.0781 0 0 132 0
"CHMP7" 7.76916 28.4193 10.0708 12.2502 1.01699 0 0 0 0 5.95851 0 0 1.79295 0 0 8.94666 2.94204 0 0 0 0.308106 34.8128 3.5049 3.06024 79.6986 0
"CHN1" 0 0 0 1.34205 3.924 0 0 0 0 0 0 1.45053 0 0 0 0.467232 0 0 0 0.689918 0 7.32844 1.80268 0 0 0
"CHN2" 13.4459 21.1875 38.4177 57.2326 3.60214 1.3965 0 52.2849 0 15.8638 24.425 0 0 60.5463 0.58323 32.1992 0 25.5416 41.8222 0 0 1.22829 9.73385 0 0 0
"CHORDC1" 0.120466 24.0858 10.3946 10.024 5.92206 6.20091 0 0.143503 1.14264 4.40397 22.1509 0 0 13.8502 0 0 0.0580289 9.59552 6.80932 2.61253 0 7.08868 55.7364 0 0 0
"CHP1" 48.4087 26.1342 51.8429 35.4931 47.3159 5.5665 11.9924 28.1859 19.0368 46.1897 98.6793 59.4608 2.32272 0 15.8123 0.85487 30.2899 45.6199 8.44084 10.7103 0 41.8891 31.6113 11.8963 0.198324 0
"CHPF" 2.20727 15.8967 21.7645 23.0422 23.2343 0 0 20.4932 3.48939 29.5266 0 21.4714 16.1378 4.02828 0 6.98768 18.6492 37.4858 28.149 0.104807 0 0 5.92478 0 0 0
"CHPF2" 0 0 0.619292 0 0 0.27508 0 0 0 0 0 10.2968 0.25587 0 0 0.440851 0 0 0 5.89667 0 0 1.57416 0 0 0.207291
"CHPT1" 181.216 39.2097 83.1269 89.4361 85.3772 0 20.8766 30.6836 76.4588 182.597 79.8082 97.0059 13.2831 116.301 0 21.4894 105.294 61.7188 131.926 0.186298 0 33.0054 105.352 141.595 0 0
"CHRAC1" 0 4.66415 5.26678 7.21686 6.17302 0 0 47.0448 0 0 5.78168 3.68932 0 0 0 0.0616911 0 4.74728 0 0 0 32.7575 2.85631 0 10.5127 227.744
"CHRD" 0 0 0 0 0 0 0 0 0 0 0 4.23731 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHRDL1" 0 0 0 0 0 0 0 0.122569 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHRDL2" 0 0 0 0 0 2.04549 0 0 0 0 0 0 3.26533 0 1.83122 0 0 0 0 10.0926 4.26663 1.36592 0 0 0 0
"CHRM3" 0 1.49376 0.306232 2.90848 0.57002 0.362751 0 0 0.878425 0.835674 0.180431 0.175576 0.627727 0.0963435 0.351558 0.871991 0 0.18629 0.159383 4.21242 2.45971 56.2196 0 0 0.235937 0
"CHRM3-AS2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11.3211 0 0 0 0 0
"CHRNA10" 0 0 0 0 0 0 0 0 3.59342 0 0 0 0 0 0 0 0 0 0 21.6226 0 0 0 0 0 0
"CHRNA5" 0 0.100947 0.113771 0 0 0 0 0.131178 0 0 0 0 0.0934262 0 0.0653733 0.072012 0 0.0692006 0 0 0 0.129536 0 0 0 0
"CHRNB1" 0 0.618032 4.53065 12.7186 0 0 0 0 0 0 29.7763 35.9602 0 0 0.099968 3.03181 0 38.8007 19.7618 0 0 18.5492 27.9278 0 0 0
"CHST12" 4.03308 0 0.818611 1.02331 0 11.0153 0 0 13.2973 0 0 0.117184 0 0.901567 6.45421 0 9.25064 0 0 2.27562 0 12.0322 0 0 111.555 167.34
"CHST13" 6.06733 14.6243 1.23186 8.62409 16.2493 0.436435 17.4478 0.568888 20.3703 22.0681 2.90399 64.3586 10.8696 37.3621 0.141071 13.0086 15.4866 4.19789 48.3683 0 9.13565 17.2488 21.6417 37.7812 0.378917 0
"CHST14" 2.30702 0 0 1.95149 0 0 0 0 0 0 0.230008 0.894832 0 0 0.335704 15.4939 0 0 0 0.127661 0 0 0 0 0 0
